url,clicks_before,impressions_before,position_before,clicks_after,impressions_after,position_after,impression_change,click_change
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/,6,2426,7.9126133553173945,8,2051,7.702584105314481,-375,2
https://dreamlab.id/perbedaan-moisturizer-gel-vs-cream/,0,480,7.360416666666667,1,358,7.365921787709497,-122,1
https://dreamlab.id/,47,676,11.220414201183432,36,590,10.850847457627118,-86,-11
https://dreamlab.id/parfum-inspired-peluang-bisnis/,1,189,7.761904761904762,0,140,7.628571428571429,-49,-1
https://www.dreamlab.id/produk/skincare/sunscreen/,0,47,1.702127659574468,0,0,0,-47,0
https://dreamlab.id/cysteamine-alternatif-hydroquinone/,2,127,7.7952755905511815,0,92,8.804347826086957,-35,-2
https://dreamlab.id/manfaat-hair-tonic-ginseng-rambut/,1,132,9.5,0,98,10.46938775510204,-34,-1
https://www.dreamlab.id/about-us/,1,32,9.375,0,0,0,-32,-1
https://dreamlab.id/pabrik-parfum-malang-dreamlab/,1,59,8.745762711864407,1,28,11.714285714285714,-31,0
https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,6,241,10.029045643153527,10,211,8.33649289099526,-30,4
https://dreamlab.id/produk/parfum/,1,126,15.761904761904763,2,96,14.239583333333334,-30,1
https://dreamlab.id/cara-buat-parfum-sendiri-dengan-maklon/,0,96,9.770833333333334,0,66,9.575757575757576,-30,0
https://dreamlab.id/cara-membuat-lulur-ampas-kopi/,0,59,7.0508474576271185,0,29,8.586206896551724,-30,0
https://dreamlab.id/industri-kosmetik-indonesia-terus-tumbuh/,4,72,11.222222222222221,3,44,9.772727272727273,-28,-1
https://dreamlab.id/services/,2,98,11.122448979591837,1,70,10.885714285714286,-28,-1
https://dreamlab.id/parfum/,2,33,17.87878787878788,0,8,25.125,-25,-2
https://dreamlab.id/jasa-maklon-sunscreen-terbaik/,1,48,5.9375,1,24,6.375,-24,0
https://dreamlab.id/maklon-kosmetik-bpom-bandar-lampung/,0,23,6.826086956521739,0,1,1,-22,0
https://dreamlab.id/produk/skincare/facial-sunscreen/,0,21,2.428571428571429,0,1,6,-20,0
https://dreamlab.id/cara-membuat-hb-dosting-sendiri/,6,417,6.570743405275779,3,399,6.894736842105263,-18,-3
https://dreamlab.id/produk/parfum/minyak-atsiri/,1,23,19.91304347826087,0,5,9.4,-18,-1
https://dreamlab.id/atur-kosmetik-halal-dreamlab/,0,28,9.25,0,11,11.454545454545455,-17,0
https://dreamlab.id/berapa-lama-membuat-brand-skincare-90-hari/,0,18,7,0,1,5,-17,0
https://dreamlab.id/basic-skincare-pria-wajib/,0,33,18.818181818181817,0,17,22.58823529411765,-16,0
https://dreamlab.id/maklon-all-day-cream/,0,18,5.944444444444445,0,2,8,-16,0
https://www.dreamlab.id/produk/babycare/baby-2in1-wash/,0,19,14.631578947368421,0,3,5.333333333333333,-16,0
https://dreamlab.id/pabrik-parfum-jakarta/,0,49,20.612244897959183,1,34,22.176470588235293,-15,1
https://dreamlab.id/maklon-body-whitening-formula-juara/,1,21,11.761904761904763,0,7,10.571428571428571,-14,-1
https://dreamlab.id/produk/skincare/,0,27,12.25925925925926,0,13,22.846153846153847,-14,0
