url,page_type,http_status,indexable,self_canonical,in_sitemap,indexed_status,historical_impressions_7d,current_impressions_7d,position,title_ok,h1_ok,schema,internal_inlinks,technical_health,search_visibility,business_intent,internal_authority,conversion_readiness,overall_priority,classification,recommended_action
https://dreamlab.id/,homepage,200,TRUE,TRUE,TRUE,indexed,676,590,10.9,TRUE,TRUE,NO,58,100,75,100,80,50,80,HEALTHY,NO_ACTION
https://dreamlab.id/services/,service,200,TRUE,TRUE,TRUE,indexed,98,70,10.9,TRUE,TRUE,NO,44,100,60,100,70,60,75,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/parfum/,service,200,TRUE,TRUE,TRUE,indexed,33,8,25.1,TRUE,TRUE,NO,41,90,30,100,70,50,60,RANKING_PROBLEM,FIX_INDEXABILITY
https://dreamlab.id/skincare-face-care/,service,200,TRUE,TRUE,TRUE,indexed,2,0,0,TRUE,TRUE,NO,41,90,20,100,70,50,55,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/body-care/,service,200,TRUE,TRUE,TRUE,indexed,12,9,43.9,TRUE,TRUE,NO,41,90,15,100,70,50,55,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/hair-care/,service,200,TRUE,TRUE,TRUE,indexed,2,0,0,TRUE,TRUE,NO,41,90,15,100,70,50,55,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/baby-care/,service,200,TRUE,TRUE,TRUE,indexed,12,9,43.9,TRUE,TRUE,NO,41,90,15,100,70,50,55,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/about-us/,about,200,TRUE,TRUE,TRUE,indexed,12,29,14.6,TRUE,TRUE,NO,45,100,40,70,60,50,60,HEALTHY,NO_ACTION
https://dreamlab.id/about-us/alur-maklon/,service,200,TRUE,TRUE,TRUE,indexed,3,2,34.5,TRUE,TRUE,NO,42,100,25,100,60,50,55,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/contact-us/,contact,200,TRUE,TRUE,TRUE,indexed,229,222,8.1,TRUE,TRUE,NO,45,100,70,100,70,80,80,HEALTHY,NO_ACTION
https://dreamlab.id/produk/skincare/,product_category,200,TRUE,TRUE,TRUE,indexed,27,13,22.8,TRUE,TRUE,NO,51,90,30,90,60,50,60,INDEXING_PROBLEM,FIX_CANONICAL
https://dreamlab.id/produk/parfum/,product_category,200,TRUE,TRUE,TRUE,indexed,126,96,14.2,TRUE,TRUE,NO,50,90,50,90,70,60,70,HEALTHY,NO_ACTION
https://dreamlab.id/produk/bodycare/,product_category,200,TRUE,TRUE,TRUE,indexed,19,13,15.1,TRUE,TRUE,NO,42,90,30,90,60,40,55,INDEXING_PROBLEM,FIX_CANONICAL
https://dreamlab.id/produk/haircare/,product_category,200,TRUE,TRUE,TRUE,indexed,7,8,51.4,TRUE,TRUE,NO,42,90,15,90,50,30,45,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/produk/babycare/,product_category,200,TRUE,TRUE,TRUE,indexed,37,47,14.1,TRUE,TRUE,NO,18,90,45,90,60,40,60,HEALTHY,NO_ACTION
https://dreamlab.id/produk/decorative/,product_category,200,TRUE,TRUE,TRUE,indexed,6,8,23.4,TRUE,TRUE,NO,14,90,15,80,40,30,40,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/produk/footcare/,product_category,200,TRUE,TRUE,TRUE,indexed,2,5,59.8,TRUE,TRUE,NO,14,90,10,70,30,20,35,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/produk/pkrt/,product_category,200,TRUE,TRUE,TRUE,indexed,7,11,11.5,TRUE,TRUE,NO,10,90,25,70,30,30,40,HEALTHY,NO_ACTION
https://dreamlab.id/panduan/,guide,200,TRUE,TRUE,TRUE,indexed,0,3,34.3,TRUE,TRUE,NO,45,100,15,80,50,30,45,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/news-blog/,blog,200,TRUE,TRUE,TRUE,indexed,19,11,13.8,TRUE,TRUE,NO,83,100,25,50,80,40,55,HEALTHY,NO_ACTION
https://dreamlab.id/pabrik-parfum-jakarta/,location_service,200,TRUE,TRUE,TRUE,indexed,49,34,22.2,TRUE,TRUE,NO,62,90,30,100,50,60,60,RANKING_PROBLEM,ADD_INTERNAL_LINKS
https://dreamlab.id/perusahaan-maklon-kosmetik/,service,200,TRUE,TRUE,TRUE,indexed,21,26,15.0,TRUE,TRUE,NO,67,90,40,100,70,60,70,HEALTHY,NO_ACTION
https://dreamlab.id/our-client/,social_proof,200,TRUE,TRUE,TRUE,indexed,21,15,9.3,TRUE,TRUE,NO,42,100,40,70,60,60,60,HEALTHY,NO_ACTION
https://dreamlab.id/career/,career,200,TRUE,TRUE,TRUE,indexed,42,46,9.8,TRUE,TRUE,NO,43,100,50,30,40,30,45,HEALTHY,NO_ACTION
https://dreamlab.id/contact-medsos/,contact,200,TRUE,TRUE,TRUE,indexed,1,0,0,TRUE,TRUE,NO,48,100,10,70,50,40,45,HEALTHY,NO_ACTION
