url,page_type,business_intent,gsc_status,historical_clicks,historical_impressions,current_clicks,current_impressions,http_status,redirect_destination,canonical,in_sitemap,internal_inlinks,root_cause,primary_action,secondary_action,priority,confidence,validation_method,expected_result,notes
https://dreamlab.id/,homepage,commercial,indexed,47,676,36,590,200,,self,YES,58,demand,mix,NO_ACTION,KEEP_MONITOR,P2,Medium,GSC performance,Stabilize impressions,"Homepage stable; no action needed"
https://dreamlab.id/services/,service,commercial,indexed,2,98,1,70,200,,self,YES,44,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,High,GSC performance + crawl,Improve position and impressions,Add links from more pages
https://dreamlab.id/parfum/,service,commercial,indexed,2,33,0,8,200,,self,YES,41,ranking,FIX_INDEXABILITY,ADD_INTERNAL_LINKS,P0,High,URL Inspection + performance,Restore indexing and ranking,Position dropped 17.9→25.1; critical fix
https://dreamlab.id/skincare-face-care/,service,commercial,indexed,0,2,0,0,200,,self,YES,41,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,Medium,GSC performance,Improve visibility,Very low impressions despite being key page
https://dreamlab.id/body-care/,service,commercial,indexed,0,12,1,9,200,,self,YES,41,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,Medium,GSC performance,Improve visibility,Low impressions for key service
https://dreamlab.id/hair-care/,service,commercial,indexed,0,2,0,0,200,,self,YES,41,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,Medium,GSC performance,Improve visibility,Very low impressions
https://dreamlab.id/baby-care/,service,commercial,indexed,0,12,1,9,200,,self,YES,41,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,Medium,GSC performance,Improve visibility,Low impressions
https://dreamlab.id/foot-care/,service,commercial,indexed,0,0,0,0,200,,self,YES,41,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P2,Low,GSC performance,Improve visibility,Niche service page
https://dreamlab.id/about-us/,about,informational,indexed,0,12,0,29,200,,self,YES,45,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Healthy page
https://dreamlab.id/about-us/alur-maklon/,service,commercial,indexed,0,3,1,2,200,,self,YES,42,ranking,ADD_INTERNAL_LINKS,KEEP_MONITOR,P1,Medium,GSC performance,Improve position,Important process page
https://dreamlab.id/contact-us/,contact,commercial,indexed,4,229,4,222,200,,self,YES,45,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Healthy page
https://dreamlab.id/contact-medsos/,contact,commercial,indexed,0,1,0,0,200,,self,YES,48,healthy,NO_ACTION,KEEP_MONITOR,P3,High,GSC performance,Stable,Healthy page
